id,Age,L_O_S,Dropped_Calls,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,Nat_call_cost_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Dropped_calls_ratio,Mins_charge,call_cost_per_min,actual call cost,Total_call_cost,Total_Cost,average cost min,Peak ratio,OffPeak ratio,Weekend ratio,Nat-InterNat Ratio,Connect_Date,Gender_F,Gender_M,tariff_CAT 100,tariff_CAT 200,tariff_CAT 50,tariff_Play 100,tariff_Play 300,Handset_ASAD170,Handset_ASAD90,Handset_BS110,Handset_BS210,Handset_CAS30,Handset_CAS60,Handset_S50,Handset_S80,Handset_SOP10,Handset_SOP20,Handset_WC95,Usage_Band_High,Usage_Band_Low,Usage_Band_Med,Usage_Band_MedHigh,Usage_Band_MedLow,Tariff_OK_High CAT 100,Tariff_OK_High CAT 50,Tariff_OK_High Play 100,Tariff_OK_OK,high Dropped calls_F,high Dropped calls_T,No Usage_F,No Usage_T,target
K252220,22.0,34.966667,1.0,2.0,315.6,9.0,21.899998,2.0,17.4,11.598386,7.627063,157.8,2.433333,8.7,13.0,354.899998,27.3,366.498384,0.03846153846,54.899998,13.892646,7.627062,11.106578,94.506578,0.257864,0.889265,0.061708,0.049028,0.032681,9590,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K180290,24.0,26.966667,1.0,560.0,1476.599999,35.0,55.5,25.0,48.0,418.043495,36.765132,2.636786,1.585714,1.92,620.0,1580.099999,2.548548,1998.143494,0.0008064516129,380.099999,9.672489,36.765131,162.178179,312.178179,0.156234,0.934498,0.035124,0.030378,0.264568,9350,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K255410,16.0,27.1,5.0,396.0,762.0,16.0,165.300001,4.0,66.0,209.915998,49.836611,1.924242,10.33125,16.5,416.0,993.300001,2.38774,1203.215999,0.006009615385,393.300001,12.671398,49.83661,112.811409,217.811409,0.181024,0.76714,0.166415,0.066445,0.211332,9354,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
K153980,33.0,48.933333,1.0,50.0,2667.599999,7.0,84.300001,46.0,117.0,450.557925,161.034976,53.352,12.042857,2.543478,103.0,2868.9,27.853398,3319.457925,0.004854368932,1668.9,9.649169,161.034976,296.202353,446.202353,0.13442,0.929834,0.029384,0.040782,0.157049,10009,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K212380,20.0,28.066667,2.0,1.0,69.0,11.0,53.7,3.0,5.4,40.001118,0.0,69.0,4.881818,1.8,15.0,128.1,8.54,168.101118,0.06666666667,-171.9,10.386417,0.0,12.000335,95.400335,0.567518,0.538642,0.419204,0.042155,0.312265,9383,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K215530,32.0,34.4,2.0,50.0,87.600001,6.0,90.600001,4.0,31.2,67.269375,0.0,1.752,15.1,7.8,60.0,209.400002,3.49,276.669377,0.01666666667,-390.599998,13.366762,0.0,26.90775,86.84775,0.313904,0.418338,0.432665,0.148997,0.321248,9573,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K220540,44.0,51.433333,1.0,7.0,18.6,163.0,297.6,20.0,47.5,38.09739,0.0,2.657143,1.825767,2.375,190.0,363.7,1.914211,401.79739,0.002631578947,-236.3,6.022821,0.0,15.238956,75.178956,0.187107,0.051141,0.818257,0.130602,0.104749,10084,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K166490,24.0,47.633333,10.0,184.0,424.799999,120.0,225.3,2.0,6.0,190.267399,6.437262,2.308696,1.8775,3.0,306.0,656.099999,2.144118,846.367398,0.01633986928,56.099999,11.474623,6.437263,63.517483,168.517483,0.199107,0.647462,0.343393,0.009145,0.289998,9970,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K233180,30.0,13.733333,3.0,249.0,569.4,118.0,234.0,6.0,21.5,137.666185,26.769071,2.286747,1.983051,3.583333,373.0,824.9,2.211528,962.566185,0.004021447721,224.9,11.902655,26.769071,68.068926,173.068926,0.1798,0.690265,0.283671,0.026064,0.166888,8953,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K181930,24.0,19.4,0.0,660.0,1100.4,120.0,217.5,20.0,45.0,422.881663,14.721239,1.667273,1.8125,2.25,800.0,1362.9,1.703625,1785.781663,0.0,162.9,9.03698,14.72124,141.585739,291.585739,0.163282,0.807396,0.159586,0.033018,0.310281,9123,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K415980,21.0,53.0,14.0,139.0,239.399999,55.0,637.2,31.0,97.500001,89.587354,0.0,1.722302,11.585455,3.145161,225.0,974.1,4.329333,1063.687354,0.03111111111,-825.9,7.652602,0.0,35.834942,113.774942,0.106963,0.245765,0.654142,0.100092,0.091969,10131,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
K348220,39.0,56.366667,1.0,37.0,392.4,1.0,76.5,44.0,73.8,87.771915,0.0,10.605405,76.5,1.677273,82.0,542.7,6.618293,630.471915,0.006097560976,-57.3,12.230514,0.0,26.331575,131.331574,0.208307,0.723051,0.140962,0.135987,0.161732,10232,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K227830,25.0,36.133333,0.0,23.0,78.0,15.0,138.900001,19.0,42.599999,10.506091,0.0,3.391304,9.26,2.242105,57.0,259.5,4.552632,270.006091,0.0,-340.5,11.011561,0.0,4.202436,64.142436,0.237559,0.300578,0.53526,0.164162,0.040486,9625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K140710,55.0,43.666667,2.0,174.0,1422.6,12.0,133.8,1.0,8.5,230.115575,34.83094,8.175862,11.15,8.5,187.0,1564.9,8.368449,1795.015575,0.005347593583,364.9,9.545338,34.83094,103.865612,253.865612,0.141428,0.909068,0.085501,0.005432,0.147048,9851,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K231260,22.0,53.833333,6.0,1.0,42.0,121.0,353.7,0.0,0.0,73.599322,0.0,42.0,2.92314,0.0,122.0,395.7,3.243443,469.299322,0.02459016393,-204.3,7.12282,0.0,29.439729,89.379729,0.190454,0.106141,0.893859,0.0,0.185998,10156,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K326270,25.0,26.7,0.0,238.0,1308.6,51.0,458.4,4.0,44.4,165.753964,52.654522,5.498319,8.988235,11.1,293.0,1811.4,6.182253,1977.153964,0.0,611.4,8.612123,52.654521,102.380711,252.380711,0.127648,0.722425,0.253064,0.024511,0.091506,9342,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K167880,25.0,32.1,0.0,191.0,303.6,51.0,147.0,73.0,124.0,182.181887,0.0,1.589529,2.882353,1.69863,315.0,574.6,1.824127,756.781887,0.0,-25.4,10.283676,0.0,54.654566,159.654566,0.210965,0.528368,0.25583,0.215802,0.317059,9504,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K397720,47.0,18.0,14.0,324.0,765.0,20.0,66.599999,39.0,86.400001,302.857095,42.400001,2.361111,3.33,2.215385,383.0,918.0,2.396867,1220.857095,0.0182767624,318.0,13.333333,42.4,133.257128,238.257128,0.195156,0.833333,0.072549,0.094118,0.32991,9081,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
K231820,52.0,37.333333,3.0,21.0,98.4,76.0,144.300001,23.0,72.6,14.368762,0.0,4.685714,1.898684,3.156522,120.0,315.300001,2.6275,329.668763,0.0125,-284.699999,11.241675,0.0,5.747505,65.687505,0.199253,0.312084,0.457659,0.230257,0.045572,9661,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
